Day,Staff,Performance
2024-08-29,Netanya,Poor
2024-08-29,Shava,Fair
2024-08-29,Iqah,Fair
2024-08-29,Hailey,Excellent
2024-08-29,Russell,Excellent
2024-08-29,Hanis,Excellent
2024-08-30,Hailey,Good
2024-08-30,Russell,Good
2024-08-30,Hanis,Excellent
2024-08-30,Netanya,Fair
2024-08-30,Shava,Good
2024-08-30,Iqah,Excellent
2024-08-30,Sarah,Poor
2024-08-30,Lois,Good
2024-08-30,Glenn,Poor
2024-08-31,Sarah,Poor
2024-08-31,Lois,Fair
2024-08-31,Glenn,Poor
2024-08-31,Netanya,Fair
2024-08-31,Shava,Good
2024-08-31,Iqah,Fair
2024-08-31,Hailey,Excellent
2024-08-31,Russell,Excellent
2024-08-31,Hanis,Excellent
